,name,price,product_url,image,rating,tiki_now,freeship,under_price,discount_%,installment,gift
0,Điện Thoại Samsung Galaxy M12 (4GB/64GB) - Hàng Chính Hãng,3490000,https://tiki.vn/dien-thoai-samsung-galaxy-m12-4gb-64gb-hang-chinh-hang-p99376042.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202112070600_MD_PID.99376044&itm_medium=CPC&itm_source=tiki-reco&spid=99376044,https://salt.tikicdn.com/cache/200x200/ts/product/38/0f/76/3377a65a5e426e395b9984e275886353.jpg,4.8,True,False,True,10,True,False
1,Điện thoại Realme Narzo 50i (4GB/64GB) - Hàng chính hãng,3199000,https://tiki.vn/dien-thoai-realme-narzo-50i-4gb-64gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p141122642.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_rulebase-newsku-listing-selected-w-competitor-v1_UNK_RB_PID.142433082&itm_medium=CPC&itm_source=tiki-reco&spid=142433082,https://salt.tikicdn.com/cache/200x200/ts/product/26/53/80/39a76c0baa447952fa3cdf97d3ba0314.jpg,5.0,False,True,False,13,False,False
2,Điện thoại Xiaomi POCO X3 PRO - Hàng Chính Hãng,5389000,https://tiki.vn/dien-thoai-xiaomi-poco-x3-pro-hang-chinh-hang-p87645053.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202112070600_MD_PID.102708684&itm_medium=CPC&itm_source=tiki-reco&spid=102708684,https://salt.tikicdn.com/cache/200x200/ts/product/43/81/ec/936a562dc524bf0f84e1d72a093a84de.JPG,4.8,True,False,False,4,False,False
3,Điện thoại di động Vivo Y21s (4GB/128GB) - Hàng chính hãng,4650000,https://tiki.vn/dien-thoai-di-dong-vivo-y21s-4gb-128gb-hang-chinh-hang-p123565891.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_rulebase-newsku-listing-selected-w-competitor-v1_UNK_RB_PID.144230730&itm_medium=CPC&itm_source=tiki-reco&spid=144230730,https://salt.tikicdn.com/cache/200x200/ts/product/17/44/4b/73cbdd3eaf33ae4c5994fb9b5e84d782.jpg,0.0,False,False,False,0,False,False
4,Điện Thoại Oppo A54 (6GB/128GB) - Hàng Chính Hãng,4789000,https://tiki.vn/dien-thoai-oppo-a54-6gb-128gb-hang-chinh-hang-p114769680.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202112070600_MD_PID.114769682&itm_medium=CPC&itm_source=tiki-reco&spid=114769682,https://salt.tikicdn.com/cache/200x200/ts/product/65/ef/8f/6be7c1cce5b425cbd3d4c6eb8e280dfe.jpg,5.0,True,False,False,0,True,False
5,"Điện thoại Masstel Hapi 15 (2GB/16GB) - Hàng chính hãng, Nguyên Seal",1575000,https://tiki.vn/dien-thoai-masstel-hapi-15-2gb-16gb-hang-chinh-hang-nguyen-seal-p140309479.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_rulebase-newsku-listing-selected-w-competitor-v1_UNK_RB_PID.144629008&itm_medium=CPC&itm_source=tiki-reco&spid=144629008,https://salt.tikicdn.com/cache/200x200/ts/product/6c/7d/df/12255f91c313d6e65e185752954c0c8d.jpg,0.0,False,True,True,7,False,False
6,Máy Tính Bảng Samsung Galaxy Tab S7 Wifi T870 (6GB/128GB) - Hàng Chính Hãng,14069000,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s7-wifi-t870-6gb-128gb-hang-chinh-hang-p83492084.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202112070600_MD_PID.83492086&itm_medium=CPC&itm_source=tiki-reco&spid=83492086,https://salt.tikicdn.com/cache/200x200/ts/product/23/fb/2b/111e4d1c36ec7094cbfb9ea5e0334992.jpg,4.8,True,False,True,6,True,False
7,Máy tính bảng Lenovo Tab P11 4GB / 64GB ( WIFI ONLY ) - Hàng nhập khẩu,5400000,https://tiki.vn/may-tinh-bang-lenovo-tab-p11-4gb-64gb-wifi-only-hang-nhap-khau-p145481646.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_rulebase-newsku-listing-selected-w-competitor-v1_UNK_RB_PID.145483905&itm_medium=CPC&itm_source=tiki-reco&spid=145483905,https://salt.tikicdn.com/cache/200x200/ts/product/59/b9/f9/623560e457aaac104a492622d7d9912f.png,0.0,False,True,False,0,False,False
8,Điện Thoại Samsung Galaxy M62 (8GB/256GB) - Hàng Chính Hãng,8329000,https://tiki.vn/dien-thoai-samsung-galaxy-m62-8gb-256gb-hang-chinh-hang-p104038451.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202112070600_MD_PID.104038453&itm_medium=CPC&itm_source=tiki-reco&spid=104038453,https://salt.tikicdn.com/cache/200x200/ts/product/93/20/0e/4431daa50d7dface2a90d265493bceef.png,4.8,True,False,False,17,True,False
9,"Điện thoại mini siêu nhỏ Servo ,độc lạ hình cây bút,tích hợp đầy đủ các chức năng của chiếc smartphone - Hàng Chính Hãng ",550000,https://tiki.vn/dien-thoai-mini-sieu-nho-ecoking-doc-la-hinh-cay-but-tich-hop-day-du-cac-chuc-nang-cua-chiec-smartphone-hang-chinh-hang-p143275307.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_rulebase-newsku-listing-selected-w-competitor-v1_UNK_RB_PID.143275315&itm_medium=CPC&itm_source=tiki-reco&spid=143275315,https://salt.tikicdn.com/cache/200x200/ts/product/e4/50/8f/10b94c4097b615ddd13b0f5b02bbf0e0.jpg,0.0,False,False,False,45,False,False
